pregunta_text,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion,nivel_dificultad,tema
¿Cuál es el nombre común del compuesto C5H12?,pentano,propano,hexano,metano,A,El nombre común del compuesto C5H12 es pentano.,facil,organica
¿Cuál es la fórmula molecular del ácido acético?,CH3COOH,H2SO4,HCl,HNO3,A,La fórmula molecular del ácido acético es CH3COOH.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CH2OH?,propanol,etanol,metanol,metano,A,El nombre común del compuesto CH3CH2CH2OH es propanol.,avanzado,organica
¿Cuál es la estructura del acetato de etilo (CH3COOCH2CH3)?,H-C-C-O-C-C-H,H-C-C-O-C,H-O-C-O-H,H-C-O-C-C,C,El acetato de etilo (CH3COOCH2CH3) tiene un grupo acetato (-COO-) unido a un grupo etilo (-CH2CH3).,facil,organica
¿Cuál es el nombre común del compuesto C3H6?,propeno,propano,propino,propanal,A,El nombre común del compuesto C3H6 es propeno.,intermedio,organica
¿Cuál es la fórmula molecular del ácido fórmico?,HCOOH,CH2O2,CH3COOH,H2CO3,A,La fórmula molecular del ácido fórmico es HCOOH.,facil,organica
¿Cuál es el grupo funcional de un éter?,-OH,-CHO,-COOH,-O-,D,El grupo funcional de un éter es -O-.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CHO?,propanal,etanol,metanol,metano,A,El nombre común del compuesto CH3CH2CHO es propanal.,facil,organica
¿Cuál es la estructura del formaldehído (CH2O)?,H-C-O,H-O-H,H-C-H,H-O-C,A,El formaldehído (CH2O) tiene un átomo de carbono unido a un átomo de oxígeno y a un átomo de hidrógeno.,intermedio,organica
¿Cuál es el nombre común del compuesto C2H6?,etano,etino,eteno,benceno,A,El nombre común del compuesto C2H6 es etano.,avanzado,organica
¿Cuál es la fórmula molecular del ácido málico?,C4H6O5,C2H5OH,C3H6O3,C6H8O7,A,La fórmula molecular del ácido málico es C4H6O5.,facil,organica
¿Cuál es el nombre común del compuesto CH3CHO?,acetaldehído,propanal,etanal,formaldehído,A,El nombre común del compuesto CH3CHO es acetaldehído.,intermedio,organica
¿Cuál es la estructura del ácido acético (CH3COOH)?,H-C-C-O-H,H-C-C-H,H-C-O-H,H-O-C-H,C,El ácido acético (CH3COOH) tiene un átomo de carbono unido a un grupo hidroxilo (-OH) y a un grupo acetilo (-COCH3).,facil,organica
¿Cuál es el nombre común del compuesto CH2=CH-CH2-CH2-CH3?,penteno,butileno,hexeno,propeno,D,El nombre común del compuesto CH2=CH-CH2-CH2-CH3 es propeno.,intermedio,organica
¿Cuál es la fórmula molecular del ácido butanoico?,C4H8O2,C3H6O3,C2H5OH,C3H8O2,A,La fórmula molecular del ácido butanoico es C4H8O2.,facil,organica
¿Cuál es el grupo funcional de un alqueno?,-C=C-,-C-C-C-,-C#C-,-C-C-,-C=C-,A,El grupo funcional de un alqueno es -C=C-.,organica
¿Cuál es el nombre común del compuesto CH3CH2CH2CH2CH3?,pentano,propano,butano,hexano,C,El nombre común del compuesto CH3CH2CH2CH2CH3 es pentano.,avanzado,organica
¿Cuál es la estructura del acetileno (C2H2)?,H-C-C-H,H-C-C,C-C,C=C,D,El acetileno (C2H2) tiene un triple enlace entre los átomos de carbono.,facil,organica
¿Cuál es el grupo funcional de un alquino?,-C#C-,-C=C-,-C-C-C-,-C-C-,-C#C-,A,El grupo funcional de un alquino es -C#C-.,organica
¿Cuál es el nombre común del compuesto C3H6O?,propanona,propanal,acetona,formaldehído,C,El nombre común del compuesto C3H6O es acetona.,facil,organica
¿Cuál es la fórmula molecular del ácido benzoico?,C7H6O2,C6H5OH,C7H8O2,C6H6O2,A,La fórmula molecular del ácido benzoico es C7H6O2.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CH3?,propano,etano,metano,benceno,A,El nombre común del compuesto CH3CH2CH3 es propano.,facil,organica
¿Cuál es la estructura del ácido fórmico (HCOOH)?,H-C-O-H,H-O-H,H-C-H,H-O-C,A,El ácido fórmico (HCOOH) tiene un átomo de carbono unido a un átomo de oxígeno y a un grupo hidroxilo (-OH).,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2OH?,etanol,metanol,propanol,metano,A,El nombre común del compuesto CH3CH2OH es etanol.,facil,organica
¿Cuál es la fórmula molecular del ácido propiónico?,C3H6O2,C2H5OH,C2H4O2,C3H8O2,A,La fórmula molecular del ácido propiónico es C3H6O2.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CH2OH?,propanol,etanol,metanol,metano,A,El nombre común del compuesto CH3CH2CH2OH es propanol.,facil,organica
¿Cuál es la estructura del ácido láctico (CH3CHOHCOOH)?,H-C-C-C-O-O-H,H-C-C-O-H,H-C-C-C-O-O-H,H-O-C-O-C-H,C,El ácido láctico (CH3CHOHCOOH) tiene dos átomos de carbono unidos a un grupo hidroxilo (-OH) y a un grupo carboxilo (-COOH).,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2COOH?,ácido propiónico,ácido butanoico,ácido etanoico,ácido fórmico,A,El nombre común del compuesto CH3CH2COOH es ácido propiónico.,facil,organica
¿Cuál es la fórmula molecular del ácido oxálico?,C2H2O4,C2H4O2,C3H6O3,C4H6O4,A,La fórmula molecular del ácido oxálico es C2H2O4.,intermedio,organica
¿Cuál es el grupo funcional de un ácido carboxílico?,-COOH,-OH,-NH2,-CHO,A,El grupo funcional de un ácido carboxílico es -COOH.,facil,organica
¿Cuál es el nombre común del compuesto C4H10?,butano,propano,metano,etano,A,El nombre común del compuesto C4H10 es butano.,avanzado,organica
¿Cuál es la fórmula molecular del ácido butanoico?,C4H8O2,C3H6O3,C2H5OH,C3H8O2,A,La fórmula molecular del ácido butanoico es C4H8O2.,facil,organica
¿Cuál es el nombre común del compuesto CH3COCH3?,acetona,acetaldehído,acetileno,ácido acético,A,El nombre común del compuesto CH3COCH3 es acetona.,intermedio,organica
¿Cuál es la estructura del ácido acético (CH3COOH)?,H-C-C-O-H,H-C-C-H,H-C-O-H,H-O-C-H,C,El ácido acético (CH3COOH) tiene un átomo de carbono unido a un grupo hidroxilo (-OH) y a un grupo acetilo (-COCH3).,facil,organica
¿Cuál es el nombre común del compuesto C3H8?,propano,propeno,propanal,propino,A,El nombre común del compuesto C3H8 es propano.,intermedio,organica
¿Cuál es la fórmula molecular del ácido málico?,C4H6O5,C2H5OH,C3H6O3,C6H8O7,A,La fórmula molecular del ácido málico es C4H6O5.,facil,organica
¿Cuál es el nombre común del compuesto CH3CH2OH?,etanol,metanol,propanol,metano,A,El nombre común del compuesto CH3CH2OH es etanol.,intermedio,organica
¿Cuál es la estructura del metano (CH4)?,H-H,H-O,H-N,H-C,C,El metano (CH4) está compuesto por un átomo de carbono (C) y cuatro átomos de hidrógeno (H).,facil,organica
¿Cuál es el nombre común del compuesto CH3COCH3?,acetona,acetaldehído,acetileno,ácido acético,A,El nombre común del compuesto CH3COCH3 es acetona.,intermedio,organica
¿Cuál es la fórmula molecular del ácido sulfúrico?,H2SO4,H2CO3,H2O,HCl,A,La fórmula molecular del ácido sulfúrico es H2SO4.,facil,organica
¿Cuál es el grupo funcional de una cetona?,-CO,-COOH,-OH,-CHO,A,El grupo funcional de una cetona es -CO.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CH2CH2CH3?,pentano,propano,hexano,metano,A,El nombre común del compuesto CH3CH2CH2CH2CH3 es pentano.,avanzado,organica
¿Cuál es la estructura del formaldehído (CH2O)?,H-C-O,H-O-H,H-C-H,H-O-C,A,El formaldehído (CH2O) tiene un átomo de carbono unido a un átomo de oxígeno y a un átomo de hidrógeno.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CHO?,acetaldehído,propanal,etanal,formaldehído,A,El nombre común del compuesto CH3CHO es acetaldehído.,facil,organica
¿Cuál es la estructura del ácido acético (CH3COOH)?,H-C-C-O-H,H-C-C-H,H-C-O-H,H-O-C-H,C,El ácido acético (CH3COOH) tiene un átomo de carbono unido a un grupo hidroxilo (-OH) y a un grupo acetilo (-COCH3).,intermedio,organica
¿Cuál es el nombre común del compuesto CH2=CH-CH2-CH2-CH3?,penteno,butileno,hexeno,propeno,D,El nombre común del compuesto CH2=CH-CH2-CH2-CH3 es propeno.,facil,organica
¿Cuál es el grupo funcional de un alquino?,-C#C-,-C=C-,-C-C-C-,-C-C-,-C#C-,A,El grupo funcional de un alquino es -C#C-.,organica
¿Cuál es el nombre común del compuesto C3H6O?,propanona,propanal,acetona,formaldehído,C,El nombre común del compuesto C3H6O es acetona.,facil,organica
¿Cuál es la fórmula molecular del ácido benzoico?,C7H6O2,C6H5OH,C7H8O2,C6H6O2,A,La fórmula molecular del ácido benzoico es C7H6O2.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CH3?,propano,etano,metano,benceno,A,El nombre común del compuesto CH3CH2CH3 es propano.,facil,organica
¿Cuál es la estructura del ácido fórmico (HCOOH)?,H-C-O-H,H-O-H,H-C-H,H-O-C,A,El ácido fórmico (HCOOH) tiene un átomo de carbono unido a un átomo de oxígeno y a un grupo hidroxilo (-OH).,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2OH?,etanol,metanol,propanol,metano,A,El nombre común del compuesto CH3CH2OH es etanol.,facil,organica
¿Cuál es la fórmula molecular del ácido propiónico?,C3H6O2,C2H5OH,C2H4O2,C3H8O2,A,La fórmula molecular del ácido propiónico es C3H6O2.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CH2OH?,propanol,etanol,metanol,metano,A,El nombre común del compuesto CH3CH2CH2OH es propanol.,facil,organica
¿Cuál es la estructura del ácido láctico (CH3CHOHCOOH)?,H-C-C-C-O-O-H,H-C-C-O-H,H-C-C-C-O-O-H,H-O-C-O-C-H,C,El ácido láctico (CH3CHOHCOOH) tiene dos átomos de carbono unidos a un grupo hidroxilo (-OH) y a un grupo carboxilo (-COOH).,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2COOH?,ácido propiónico,ácido butanoico,ácido etanoico,ácido fórmico,A,El nombre común del compuesto CH3CH2COOH es ácido propiónico.,facil,organica
¿Cuál es la fórmula molecular del ácido oxálico?,C2H2O4,C2H4O2,C3H6O3,C4H6O4,A,La fórmula molecular del ácido oxálico es C2H2O4.,intermedio,organica
¿Cuál es el grupo funcional de un ácido carboxílico?,-COOH,-OH,-NH2,-CHO,A,El grupo funcional de un ácido carboxílico es -COOH.,facil,organica
¿Cuál es el nombre común del compuesto C4H10?,butano,propano,metano,etano,A,El nombre común del compuesto C4H10 es butano.,avanzado,organica
¿Cuál es la fórmula molecular del ácido butanoico?,C4H8O2,C3H6O3,C2H5OH,C3H8O2,A,La fórmula molecular del ácido butanoico es C4H8O2.,facil,organica
¿Cuál es el nombre común del compuesto CH3COCH3?,acetona,acetaldehído,acetileno,ácido acético,A,El nombre común del compuesto CH3COCH3 es acetona.,intermedio,organica
¿Cuál es la estructura del ácido acético (CH3COOH)?,H-C-C-O-H,H-C-C-H,H-C-O-H,H-O-C-H,C,El ácido acético (CH3COOH) tiene un átomo de carbono unido a un grupo hidroxilo (-OH) y a un grupo acetilo (-COCH3).,facil,organica
¿Cuál es el nombre común del compuesto CH2=CH-CH2-CH2-CH3?,penteno,butileno,hexeno,propeno,D,El nombre común del compuesto CH2=CH-CH2-CH2-CH3 es propeno.,intermedio,organica
¿Cuál es el grupo funcional de un alquino?,-C#C-,-C=C-,-C-C-C-,-C-C-,-C#C-,A,El grupo funcional de un alquino es -C#C-.,organica
¿Cuál es el nombre común del compuesto C3H6O?,propanona,propanal,acetona,formaldehído,C,El nombre común del compuesto C3H6O es acetona.,facil,organica
¿Cuál es la fórmula molecular del ácido benzoico?,C7H6O2,C6H5OH,C7H8O2,C6H6O2,A,La fórmula molecular del ácido benzoico es C7H6O2.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CH3?,propano,etano,metano,benceno,A,El nombre común del compuesto CH3CH2CH3 es propano.,facil,organica
¿Cuál es la estructura del ácido fórmico (HCOOH)?,H-C-O-H,H-O-H,H-C-H,H-O-C,A,El ácido fórmico (HCOOH) tiene un átomo de carbono unido a un átomo de oxígeno y a un grupo hidroxilo (-OH).,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2OH?,etanol,metanol,propanol,metano,A,El nombre común del compuesto CH3CH2OH es etanol.,facil,organica
¿Cuál es la fórmula molecular del ácido propiónico?,C3H6O2,C2H5OH,C2H4O2,C3H8O2,A,La fórmula molecular del ácido propiónico es C3H6O2.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CH2OH?,propanol,etanol,metanol,metano,A,El nombre común del compuesto CH3CH2CH2OH es propanol.,facil,organica
¿Cuál es la estructura del ácido láctico (CH3CHOHCOOH)?,H-C-C-C-O-O-H,H-C-C-O-H,H-C-C-C-O-O-H,H-O-C-O-C-H,C,El ácido láctico (CH3CHOHCOOH) tiene dos átomos de carbono unidos a un grupo hidroxilo (-OH) y a un grupo carboxilo (-COOH).,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2COOH?,ácido propiónico,ácido butanoico,ácido etanoico,ácido fórmico,A,El nombre común del compuesto CH3CH2COOH es ácido propiónico.,facil,organica
¿Cuál es la fórmula molecular del ácido oxálico?,C2H2O4,C2H4O2,C3H6O3,C4H6O4,A,La fórmula molecular del ácido oxálico es C2H2O4.,intermedio,organica
¿Cuál es el grupo funcional de un ácido carboxílico?,-COOH,-OH,-NH2,-CHO,A,El grupo funcional de un ácido carboxílico es -COOH.,facil,organica
¿Cuál es el nombre común del compuesto C4H10?,butano,propano,metano,etano,A,El nombre común del compuesto C4H10 es butano.,avanzado,organica
¿Cuál es la fórmula molecular del ácido butanoico?,C4H8O2,C3H6O3,C2H5OH,C3H8O2,A,La fórmula molecular del ácido butanoico es C4H8O2.,facil,organica
¿Cuál es el nombre común del compuesto CH3COCH3?,acetona,acetaldehído,acetileno,ácido acético,A,El nombre común del compuesto CH3COCH3 es acetona.,intermedio,organica
¿Cuál es la estructura del ácido acético (CH3COOH)?,H-C-C-O-H,H-C-C-H,H-C-O-H,H-O-C-H,C,El ácido acético (CH3COOH) tiene un átomo de carbono unido a un grupo hidroxilo (-OH) y a un grupo acetilo (-COCH3).,facil,organica
¿Cuál es el nombre común del compuesto CH2=CH-CH2-CH2-CH3?,penteno,butileno,hexeno,propeno,D,El nombre común del compuesto CH2=CH-CH2-CH2-CH3 es propeno.,intermedio,organica
¿Cuál es el grupo funcional de un alquino?,-C#C-,-C=C-,-C-C-C-,-C-C-,-C#C-,A,El grupo funcional de un alquino es -C#C-.,organica
¿Cuál es el nombre común del compuesto C3H6O?,propanona,propanal,acetona,formaldehído,C,El nombre común del compuesto C3H6O es acetona.,facil,organica
¿Cuál es la fórmula molecular del ácido benzoico?,C7H6O2,C6H5OH,C7H8O2,C6H6O2,A,La fórmula molecular del ácido benzoico es C7H6O2.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CH3?,propano,etano,metano,benceno,A,El nombre común del compuesto CH3CH2CH3 es propano.,facil,organica
¿Cuál es la estructura del ácido fórmico (HCOOH)?,H-C-O-H,H-O-H,H-C-H,H-O-C,A,El ácido fórmico (HCOOH) tiene un átomo de carbono unido a un átomo de oxígeno y a un grupo hidroxilo (-OH).,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2OH?,etanol,metanol,propanol,metano,A,El nombre común del compuesto CH3CH2OH es etanol.,facil,organica
¿Cuál es la fórmula molecular del ácido propiónico?,C3H6O2,C2H5OH,C2H4O2,C3H8O2,A,La fórmula molecular del ácido propiónico es C3H6O2.,intermedio,organica
¿Cuál es el nombre común del compuesto CH3CH2CH2OH?,propanol,etanol,metanol,metano,A,El nombre común del compuesto CH3CH2CH2OH es propanol.,facil,organica
¿Cuál es la estructura del ácido láctico (CH3CHOHCOOH)?,H-C-C-C-O-O-H,H-C-C-O-H,H-C-C-C-O-O-H,H-O-C-O-C-H,C,El ácido láctico (CH3CHOHCOOH) tiene dos átomos de carbono unidos a un grupo hidroxilo (-OH) y a un grupo carboxilo (-COOH).,intermedio,
¿Cuál es el nombre común del compuesto CH3CH2COOH?,ácido propiónico,ácido butanoico,ácido etanoico,ácido fórmico,A,El nombre común del compuesto CH3CH2COOH es ácido propiónico.,facil,
¿Cuál es la fórmula molecular del ácido oxálico?,C2H2O4,C2H4O2,C3H6O3,C4H6O4,A,La fórmula molecular del ácido oxálico es C2H2O4.,intermedio,
¿Cuál es el grupo funcional de un ácido carboxílico?,-COOH,-OH,-NH2,-CHO,A,El grupo funcional de un ácido carboxílico es -COOH.,facil,
¿Cuál es el nombre común del compuesto C4H10?,butano,propano,metano,etano,A,El nombre común del compuesto C4H10 es butano.,avanzado,
¿Cuál es la fórmula molecular del ácido butanoico?,C4H8O2,C3H6O3,C2H5OH,C3H8O2,A,La fórmula molecular del ácido butanoico es C4H8O2.,facil,
